Data;Alba;Tramonto;Ore_luce
M 16/03/2022;06:33:00;18:30:00;11:57:00
G 17/03/2022;06:31:00;18:31:00;12:00:00
v 18/03/2022;06:30:00;18:32:00;12:02:00
s 19/03/2022;06:28:00;18:33:00;12:05:00
D 20/03/2022;06:27:00;18:34:00;12:07:00
L 21/03/2022;06:25:00;18:35:00;12:10:00
M 22/03/2022;06:24:00;18:36:00;12:12:00
M 23/03/2022;06:22:00;18:37:00;12:15:00
G 24/03/2022;06:20:00;18:38:00;12:18:00
v 25/03/2022;06:19:00;18:39:00;12:20:00
s 26/03/2022;06:17:00;18:40:00;12:23:00
D 27/03/2022;07:16:00;19:41:00;12:25:00
L 28/03/2022;07:14:00;19:42:00;12:28:00
M 29/03/2022;07:12:00;19:43:00;12:31:00
M 30/03/2022;07:11:00;19:44:00;12:33:00
G 31/03/2022;07:09:00;19:45:00;12:36:00
v 01/04/2022;07:08:00;19:46:00;12:38:00
s 02/04/2022;07:06:00;19:46:00;12:40:00
D 03/04/2022;07:04:00;19:47:00;12:43:00
L 04/04/2022;07:03:00;19:48:00;12:45:00
M 05/04/2022;07:01:00;19:49:00;12:48:00
M 06/04/2022;07:00:00;19:50:00;12:50:00
G 07/04/2022;06:58:00;19:51:00;12:53:00
v 08/04/2022;06:57:00;19:52:00;12:55:00
s 09/04/2022;06:55:00;19:53:00;12:58:00
D 10/04/2022;06:54:00;19:54:00;13:00:00
L 11/04/2022;06:52:00;19:55:00;13:03:00
M 12/04/2022;06:51:00;19:56:00;13:05:00
M 13/04/2022;06:49:00;19:57:00;13:08:00
G 14/04/2022;06:48:00;19:58:00;13:10:00
v 15/04/2022;06:46:00;19:59:00;13:13:00
s 16/04/2022;06:45:00;20:00:00;13:15:00
D 17/04/2022;06:43:00;20:01:00;13:18:00
L 18/04/2022;06:42:00;20:02:00;13:20:00
M 19/04/2022;06:40:00;20:03:00;13:23:00
M 20/04/2022;06:39:00;20:04:00;13:25:00
G 21/04/2022;06:38:00;20:05:00;13:27:00
v 22/04/2022;06:36:00;20:06:00;13:30:00
s 23/04/2022;06:35:00;20:07:00;13:32:00
D 24/04/2022;06:33:00;20:08:00;13:35:00
L 25/04/2022;06:32:00;20:09:00;13:37:00
M 26/04/2022;06:31:00;20:10:00;13:39:00
M 27/04/2022;06:30:00;20:11:00;13:41:00
G 28/04/2022;06:28:00;20:12:00;13:44:00
v 29/04/2022;06:27:00;20:13:00;13:46:00
s 30/04/2022;06:26:00;20:14:00;13:48:00
D 01/05/2022;06:24:00;20:15:00;13:51:00
L 02/05/2022;06:23:00;20:16:00;13:53:00
M 03/05/2022;06:22:00;20:17:00;13:55:00
M 04/05/2022;06:21:00;20:18:00;13:57:00
G 05/05/2022;06:20:00;20:19:00;13:59:00
v 06/05/2022;06:19:00;20:20:00;14:01:00
s 07/05/2022;06:17:00;20:21:00;14:04:00
D 08/05/2022;06:16:00;20:22:00;14:06:00
L 09/05/2022;06:15:00;20:23:00;14:08:00
M 10/05/2022;06:14:00;20:24:00;14:10:00
M 11/05/2022;06:13:00;20:25:00;14:12:00
G 12/05/2022;06:12:00;20:26:00;14:14:00
v 13/05/2022;06:11:00;20:27:00;14:16:00
s 14/05/2022;06:10:00;20:27:00;14:17:00
D 15/05/2022;06:09:00;20:28:00;14:19:00
L 16/05/2022;06:09:00;20:29:00;14:20:00
M 17/05/2022;06:08:00;20:30:00;14:22:00
M 18/05/2022;06:07:00;20:31:00;14:24:00
G 19/05/2022;06:06:00;20:32:00;14:26:00
v 20/05/2022;06:05:00;20:33:00;14:28:00
s 21/05/2022;06:04:00;20:34:00;14:30:00
D 22/05/2022;06:04:00;20:35:00;14:31:00
L 23/05/2022;06:03:00;20:35:00;14:32:00
M 24/05/2022;06:02:00;20:36:00;14:34:00
M 25/05/2022;06:02:00;20:37:00;14:35:00
G 26/05/2022;06:01:00;20:38:00;14:37:00
v 27/05/2022;06:01:00;20:39:00;14:38:00
s 28/05/2022;06:00:00;20:40:00;14:40:00
D 29/05/2022;05:59:00;20:40:00;14:41:00
L 30/05/2022;05:59:00;20:41:00;14:42:00
M 31/05/2022;05:59:00;20:42:00;14:43:00
M 01/06/2022;05:58:00;20:43:00;14:45:00
G 02/06/2022;05:58:00;20:43:00;14:45:00
v 03/06/2022;05:57:00;20:44:00;14:47:00
s 04/06/2022;05:57:00;20:45:00;14:48:00
D 05/06/2022;05:57:00;20:45:00;14:48:00
L 06/06/2022;05:56:00;20:46:00;14:50:00
M 07/06/2022;05:56:00;20:46:00;14:50:00
M 08/06/2022;05:56:00;20:47:00;14:51:00
G 09/06/2022;05:56:00;20:48:00;14:52:00
v 10/06/2022;05:56:00;20:48:00;14:52:00
s 11/06/2022;05:56:00;20:49:00;14:53:00
D 12/06/2022;05:55:00;20:49:00;14:54:00
L 13/06/2022;05:55:00;20:50:00;14:55:00
M 14/06/2022;05:55:00;20:50:00;14:55:00
M 15/06/2022;05:55:00;20:50:00;14:55:00
G 16/06/2022;05:55:00;20:51:00;14:56:00
v 17/06/2022;05:56:00;20:51:00;14:55:00
s 18/06/2022;05:56:00;20:52:00;14:56:00
D 19/06/2022;05:56:00;20:52:00;14:56:00
L 20/06/2022;05:56:00;20:52:00;14:56:00
M 21/06/2022;05:56:00;20:52:00;14:56:00
M 22/06/2022;05:56:00;20:53:00;14:57:00
G 23/06/2022;05:57:00;20:53:00;14:56:00
v 24/06/2022;05:57:00;20:53:00;14:56:00
s 25/06/2022;05:57:00;20:53:00;14:56:00
D 26/06/2022;05:58:00;20:53:00;14:55:00
L 27/06/2022;05:58:00;20:53:00;14:55:00
M 28/06/2022;05:58:00;20:53:00;14:55:00
M 29/06/2022;05:59:00;20:53:00;14:54:00
G 30/06/2022;05:59:00;20:53:00;14:54:00
v 01/07/2022;06:00:00;20:53:00;14:53:00
s 02/07/2022;06:00:00;20:53:00;14:53:00
D 03/07/2022;06:01:00;20:53:00;14:52:00
L 04/07/2022;06:01:00;20:53:00;14:52:00
M 05/07/2022;06:02:00;20:53:00;14:51:00
M 06/07/2022;06:02:00;20:52:00;14:50:00
G 07/07/2022;06:03:00;20:52:00;14:49:00
v 08/07/2022;06:03:00;20:52:00;14:49:00
s 09/07/2022;06:04:00;20:51:00;14:47:00
D 10/07/2022;06:05:00;20:51:00;14:46:00
L 11/07/2022;06:05:00;20:51:00;14:46:00
M 12/07/2022;06:06:00;20:50:00;14:44:00
M 13/07/2022;06:07:00;20:50:00;14:43:00
G 14/07/2022;06:07:00;20:49:00;14:42:00
v 15/07/2022;06:08:00;20:49:00;14:41:00
s 16/07/2022;06:09:00;20:48:00;14:39:00
D 17/07/2022;06:10:00;20:48:00;14:38:00
L 18/07/2022;06:10:00;20:47:00;14:37:00
M 19/07/2022;06:11:00;20:46:00;14:35:00
M 20/07/2022;06:12:00;20:46:00;14:34:00
G 21/07/2022;06:13:00;20:45:00;14:32:00
v 22/07/2022;06:14:00;20:44:00;14:30:00
s 23/07/2022;06:15:00;20:44:00;14:29:00
D 24/07/2022;06:15:00;20:43:00;14:28:00
L 25/07/2022;06:16:00;20:42:00;14:26:00
M 26/07/2022;06:17:00;20:41:00;14:24:00
M 27/07/2022;06:18:00;20:40:00;14:22:00
G 28/07/2022;06:19:00;20:39:00;14:20:00
v 29/07/2022;06:20:00;20:38:00;14:18:00
s 30/07/2022;06:21:00;20:38:00;14:17:00
D 31/07/2022;06:21:00;20:37:00;14:16:00
v 01/07/2022;06:00:00;20:53:00;14:53:00
s 02/07/2022;06:00:00;20:53:00;14:53:00
D 03/07/2022;06:01:00;20:53:00;14:52:00
L 04/07/2022;06:01:00;20:53:00;14:52:00
M 05/07/2022;06:02:00;20:53:00;14:51:00
M 06/07/2022;06:02:00;20:52:00;14:50:00
G 07/07/2022;06:03:00;20:52:00;14:49:00
v 08/07/2022;06:03:00;20:52:00;14:49:00
s 09/07/2022;06:04:00;20:51:00;14:47:00
D 10/07/2022;06:05:00;20:51:00;14:46:00
L 11/07/2022;06:05:00;20:51:00;14:46:00
M 12/07/2022;06:06:00;20:50:00;14:44:00
M 13/07/2022;06:07:00;20:50:00;14:43:00
G 14/07/2022;06:07:00;20:49:00;14:42:00
v 15/07/2022;06:08:00;20:49:00;14:41:00
s 16/07/2022;06:09:00;20:48:00;14:39:00
D 17/07/2022;06:10:00;20:48:00;14:38:00
L 18/07/2022;06:10:00;20:47:00;14:37:00
M 19/07/2022;06:11:00;20:46:00;14:35:00
M 20/07/2022;06:12:00;20:46:00;14:34:00
G 21/07/2022;06:13:00;20:45:00;14:32:00
v 22/07/2022;06:14:00;20:44:00;14:30:00
s 23/07/2022;06:15:00;20:44:00;14:29:00
D 24/07/2022;06:15:00;20:43:00;14:28:00
L 25/07/2022;06:16:00;20:42:00;14:26:00
M 26/07/2022;06:17:00;20:41:00;14:24:00
M 27/07/2022;06:18:00;20:40:00;14:22:00
G 28/07/2022;06:19:00;20:39:00;14:20:00
v 29/07/2022;06:20:00;20:38:00;14:18:00
s 30/07/2022;06:21:00;20:38:00;14:17:00
D 31/07/2022;06:21:00;20:37:00;14:16:00
L 01/08/2022;06:22:00;20:36:00;14:14:00
M 02/08/2022;06:23:00;20:35:00;14:12:00
M 03/08/2022;06:24:00;20:33:00;14:09:00
G 04/08/2022;06:25:00;20:32:00;14:07:00
v 05/08/2022;06:26:00;20:31:00;14:05:00
s 06/08/2022;06:27:00;20:30:00;14:03:00
D 07/08/2022;06:28:00;20:29:00;14:01:00
L 08/08/2022;06:29:00;20:28:00;13:59:00
M 09/08/2022;06:30:00;20:27:00;13:57:00
M 10/08/2022;06:31:00;20:26:00;13:55:00
G 11/08/2022;06:31:00;20:24:00;13:53:00
v 12/08/2022;06:32:00;20:23:00;13:51:00
s 13/08/2022;06:33:00;20:22:00;13:49:00
D 14/08/2022;06:34:00;20:20:00;13:46:00
L 15/08/2022;06:35:00;20:19:00;13:44:00
M 16/08/2022;06:36:00;20:18:00;13:42:00
M 17/08/2022;06:37:00;20:17:00;13:40:00
G 18/08/2022;06:38:00;20:15:00;13:37:00
v 19/08/2022;06:39:00;20:14:00;13:35:00
s 20/08/2022;06:40:00;20:12:00;13:32:00
D 21/08/2022;06:41:00;20:11:00;13:30:00
L 22/08/2022;06:42:00;20:10:00;13:28:00
M 23/08/2022;06:42:00;20:08:00;13:26:00
M 24/08/2022;06:43:00;20:07:00;13:24:00
G 25/08/2022;06:44:00;20:05:00;13:21:00
v 26/08/2022;06:45:00;20:04:00;13:19:00
s 27/08/2022;06:46:00;20:02:00;13:16:00
D 28/08/2022;06:47:00;20:01:00;13:14:00
L 29/08/2022;06:48:00;19:59:00;13:11:00
M 30/08/2022;06:49:00;19:58:00;13:09:00
M 31/08/2022;06:50:00;19:56:00;13:06:00
G 01/09/2022;06:50:00;19:56:00;13:06:00
v 02/09/2022;06:51:00;19:55:00;13:04:00
s 03/09/2022;06:52:00;19:53:00;13:01:00
D 04/09/2022;06:53:00;19:52:00;12:59:00
L 05/09/2022;06:53:00;19:50:00;12:57:00
M 06/09/2022;06:54:00;19:48:00;12:54:00
M 07/09/2022;06:55:00;19:47:00;12:52:00
G 08/09/2022;06:56:00;19:45:00;12:49:00
v 09/09/2022;06:57:00;19:44:00;12:47:00
s 10/09/2022;06:58:00;19:42:00;12:44:00
D 11/09/2022;06:59:00;19:41:00;12:42:00
L 12/09/2022;07:00:00;19:39:00;12:39:00
M 13/09/2022;07:01:00;19:37:00;12:36:00
M 14/09/2022;07:02:00;19:36:00;12:34:00
G 15/09/2022;07:03:00;19:34:00;12:31:00
v 16/09/2022;07:03:00;19:32:00;12:29:00
s 17/09/2022;07:04:00;19:31:00;12:27:00
D 18/09/2022;07:05:00;19:29:00;12:24:00
L 19/09/2022;07:06:00;19:28:00;12:22:00
M 20/09/2022;07:07:00;19:26:00;12:19:00
M 21/09/2022;07:08:00;19:24:00;12:16:00
G 22/09/2022;07:09:00;19:23:00;12:14:00
v 23/09/2022;07:10:00;19:21:00;12:11:00
s 24/09/2022;07:11:00;19:19:00;12:08:00
D 25/09/2022;07:12:00;19:18:00;12:06:00
L 26/09/2022;07:13:00;19:16:00;12:03:00
M 27/09/2022;07:14:00;19:15:00;12:01:00
M 28/09/2022;07:14:00;19:13:00;11:59:00
G 29/09/2022;07:15:00;19:11:00;11:56:00
v 30/09/2022;07:16:00;19:10:00;11:54:00
s 01/10/2022;07:17:00;19:08:00;11:51:00
D 02/10/2022;07:18:00;19:07:00;11:49:00
L 03/10/2022;07:19:00;19:05:00;11:46:00
M 04/10/2022;07:20:00;19:03:00;11:43:00
M 05/10/2022;07:21:00;19:02:00;11:41:00
G 06/10/2022;07:22:00;19:00:00;11:38:00
v 07/10/2022;07:23:00;18:59:00;11:36:00
s 08/10/2022;07:24:00;18:57:00;11:33:00
D 09/10/2022;07:25:00;18:56:00;11:31:00
L 10/10/2022;07:26:00;18:54:00;11:28:00
M 11/10/2022;07:27:00;18:52:00;11:25:00
M 12/10/2022;07:28:00;18:51:00;11:23:00
G 13/10/2022;07:29:00;18:49:00;11:20:00
v 14/10/2022;07:30:00;18:48:00;11:18:00
s 15/10/2022;07:31:00;18:46:00;11:15:00
D 16/10/2022;07:32:00;18:45:00;11:13:00
L 17/10/2022;07:33:00;18:44:00;11:11:00
M 18/10/2022;07:34:00;18:42:00;11:08:00
M 19/10/2022;07:35:00;18:41:00;11:06:00
G 20/10/2022;07:36:00;18:39:00;11:03:00
v 21/10/2022;07:37:00;18:38:00;11:01:00
s 22/10/2022;07:38:00;18:36:00;10:58:00
D 23/10/2022;07:39:00;18:35:00;10:56:00
L 24/10/2022;07:40:00;18:34:00;10:54:00
M 25/10/2022;07:41:00;18:32:00;10:51:00
M 26/10/2022;07:42:00;18:31:00;10:49:00
G 27/10/2022;07:43:00;18:30:00;10:47:00
v 28/10/2022;07:44:00;18:28:00;10:44:00
s 29/10/2022;07:46:00;18:27:00;10:41:00
D 30/10/2022;06:47:00;17:26:00;10:39:00
L 31/10/2022;06:48:00;17:25:00;10:37:00
M 01/11/2022;06:49:00;17:24:00;10:35:00
M 02/11/2022;06:50:00;17:22:00;10:32:00
G 03/11/2022;06:51:00;17:21:00;10:30:00
v 04/11/2022;06:52:00;17:20:00;10:28:00
s 05/11/2022;06:53:00;17:19:00;10:26:00
D 06/11/2022;06:54:00;17:18:00;10:24:00
L 07/11/2022;06:55:00;17:17:00;10:22:00
M 08/11/2022;06:57:00;17:16:00;10:19:00
M 09/11/2022;06:58:00;17:15:00;10:17:00
G 10/11/2022;06:59:00;17:14:00;10:15:00
v 11/11/2022;07:00:00;17:13:00;10:13:00
s 12/11/2022;07:01:00;17:12:00;10:11:00
D 13/11/2022;07:02:00;17:11:00;10:09:00
L 14/11/2022;07:03:00;17:10:00;10:07:00
M 15/11/2022;07:04:00;17:09:00;10:05:00
M 16/11/2022;07:06:00;17:09:00;10:03:00
G 17/11/2022;07:07:00;17:08:00;10:01:00
v 18/11/2022;07:08:00;17:07:00;09:59:00
s 19/11/2022;07:09:00;17:06:00;09:57:00
D 20/11/2022;07:10:00;17:06:00;09:56:00
L 21/11/2022;07:11:00;17:05:00;09:54:00
M 22/11/2022;07:12:00;17:04:00;09:52:00
M 23/11/2022;07:13:00;17:04:00;09:51:00
G 24/11/2022;07:14:00;17:03:00;09:49:00
v 25/11/2022;07:15:00;17:03:00;09:48:00
s 26/11/2022;07:17:00;17:02:00;09:45:00
D 27/11/2022;07:18:00;17:02:00;09:44:00
L 28/11/2022;07:19:00;17:01:00;09:42:00
M 29/11/2022;07:20:00;17:01:00;09:41:00
M 30/11/2022;07:21:00;17:01:00;09:40:00
G 01/12/2022;07:22:00;17:00:00;09:38:00
v 02/12/2022;07:23:00;17:00:00;09:37:00
s 03/12/2022;07:24:00;17:00:00;09:36:00
D 04/12/2022;07:25:00;17:00:00;09:35:00
L 05/12/2022;07:26:00;16:59:00;09:33:00
M 06/12/2022;07:27:00;16:59:00;09:32:00
M 07/12/2022;07:27:00;16:59:00;09:32:00
G 08/12/2022;07:28:00;16:59:00;09:31:00
v 09/12/2022;07:29:00;16:59:00;09:30:00
s 10/12/2022;07:30:00;16:59:00;09:29:00
D 11/12/2022;07:31:00;16:59:00;09:28:00
L 12/12/2022;07:32:00;16:59:00;09:27:00
M 13/12/2022;07:33:00;16:59:00;09:26:00
M 14/12/2022;07:33:00;17:00:00;09:27:00
G 15/12/2022;07:34:00;17:00:00;09:26:00
v 16/12/2022;07:35:00;17:00:00;09:25:00
s 17/12/2022;07:35:00;17:00:00;09:25:00
D 18/12/2022;07:36:00;17:01:00;09:25:00
L 19/12/2022;07:37:00;17:01:00;09:24:00
M 20/12/2022;07:37:00;17:01:00;09:24:00
M 21/12/2022;07:38:00;17:02:00;09:24:00
G 22/12/2022;07:38:00;17:02:00;09:24:00
v 23/12/2022;07:39:00;17:03:00;09:24:00
s 24/12/2022;07:39:00;17:03:00;09:24:00
D 25/12/2022;07:40:00;17:04:00;09:24:00
L 26/12/2022;07:40:00;17:04:00;09:24:00
M 27/12/2022;07:41:00;17:05:00;09:24:00
M 28/12/2022;07:41:00;17:06:00;09:25:00
G 29/12/2022;07:41:00;17:06:00;09:25:00
v 30/12/2022;07:42:00;17:07:00;09:25:00
s 31/12/2022;07:42:00;17:08:00;09:26:00
